Manufacturer,Vestas
Model,V90_Gridstreamer
Capacity,2030
Usage,Onshore
HubHeight, 80-125
RotorDiameter,90
Source,https://en.wind-turbine-models.com/turbines/248-vestas-v-90-gridstreamer
Power curve,
windspeed(m/s),power(kW)
3.5,0
4,75
4.5,128
5,190
5.5,265
6,354
6.5,459
7,582
7.5,723
8,883
8.5,1058
9,1240
9.5,1427
10,1604
10.5,1762
11,1893
11.5,1968
12,2005
12.5,2021
13,2027
13.5,2029
14,2030
15,2030
16,2030
17,2030
18,2030
19,2030
20,2030
22,2030
23,2030
25,2030
