Manufacturer,Vestas
Model,V164-9500
Capacity,9500
Usage,Offshore
HubHeight,0
RotorDiameter,164
Source,
Power curve,
windspeed(m/s),power(kW)
1.13,0
2.31,0
3.01,30.44
3.56,103.17
4.14,277.36
4.72,495.03
5.17,727.13
5.57,944.72
5.97,1220.28
6.35,1437.85
6.67,1727.86
7.12,2162.86
7.6,2612.37
7.98,3090.81
8.43,3612.77
8.78,4076.7
9.06,4468.14
9.38,4917.58
9.61,5352.47
9.91,5758.41
10.23,6265.81
10.54,6758.71
10.96,7338.63
11.29,7773.57
11.66,8252.01
12.04,8657.99
12.49,9035.02
12.99,9310.62
13.6,9484.83
14.2,9485.12
14.77,9500
15.28,9500
15.93,9500
16.86,9500
17.71,9500
18.81,9500
20.74,9500
22.25,9500
24.28,9500
25,9500
