Manufacturer,Suzlon
Model,S66-1250
Capacity,1250
Usage,Onshore
HubHeight,74.5
RotorDiameter,66
Source,https://en.wind-turbine-models.com/turbines/97-suzlon-s.66-1250
Power curve,
windspeed(m/s),power(kW)
2,0
3,5
3.5,20
4,37.52
4.5,65.26
5,93
5.5,122
6,151
6.5,215.09
7,285
7.5,369.5
8,454
8.5,546.5
9,639
9.5,739.7
10,832
10.5,920
11,1008
11.5,1080
12,1152
12.5,1198.43
13,1241
13.5,1245.5
15,1250
16,1250
17,1250
18,1250
19,1250
20,1250
21,1250
22,1250
