Manufacturer,Siemens,,,,,,,,,,,,,,,
Model,SWT-3.15-142,,,,,,,,,,,,,,,
Capacity,3150,,,,,,,,,,,,,,,
Usage,Onshore,,,,,,,,,,,,,,,
Power curve,,,SWT-3.2-113,,,SWT-3.3-130,,,SWT-3.3-130 LN,,,SWT-3.6-120 Onshore,,,SWT-3.6-130,
windspeed(m/s),power(kW),,ws(m/s),P(kW),,ws(m/s),P(kW),,ws(m/s),P(kW),,ws(m/s),P(kW),,ws(m/s),P(kW)
1,0,,1,0,,1,0,,1,0,,1,0,,1,0
2,0,,2,0,,2,0,,2,0,,2,0,,2,0
3,55,,3,64,,3,42,,3,43,,3,0,,3,43
4,239,,4,169,,4,180,,4,184,,4,161,,4,184
5,549,,5,350,,5,412,,5,421,,5,351,,5,421
6,968,,6,623,,6,760,,6,778,,6,635,,6,778
7,1152,,7,1004,,7,1241,,7,1270,,7,1026,,7,1269
8,2202,,8,1506,,8,1864,,8,1905,,8,1544,,8,1901
9,2816,,9,2115,,9,2588,,9,2593,,9,2204,,9,2630
10,3090,,10,2712,,10,3122,,10,3096,,10,2910,,10,3261
11,3145,,11,3083,,11,3278,,11,3268,,11,3399,,11,3534
12,3150,,12,3187,,12,3298,,12,3297,,12,3567,,12,3593
13,3150,,13,3199,,13,3300,,13,3300,,13,3596,,13,3600
14,3150,,14,3200,,14,3300,,14,3300,,14,3600,,14,3600
15,3150,,15,3200,,15,3300,,15,3300,,15,3600,,15,3600
16,3150,,16,3200,,16,3300,,16,3300,,16,3600,,16,3600
17,3150,,17,3200,,17,3300,,17,3300,,17,3600,,17,3600
18,3150,,18,3200,,18,3300,,18,3300,,18,3600,,18,3600
19,3150,,19,3200,,19,3300,,19,3300,,19,3600,,19,3600
20,3150,,20,3200,,20,3300,,20,3300,,20,3600,,20,3600
21,3150,,21,3200,,21,3300,,21,3300,,21,3600,,21,3600
22,3150,,22,3200,,22,3300,,22,3300,,22,3600,,22,3600
23,3150,,23,3200,,23,3300,,23,3300,,23,3600,,23,3600
24,3150,,24,3200,,24,3300,,24,3300,,24,3600,,24,3600
24.999,3150,,24.999,3200,,24.999,3300,,24.999,3300,,24.999,3600,,24.999,3600
25.001,0,,25.001,0,,25.001,0,,25.001,0,,25.001,0,,25.001,0
