Manufacturer,Lagerwey,,,,,,,,,,,,,,,,,,
Model,LW 72/2000,,,,,,,,,,,,,,,,,,
Capacity,2000,,,,,,,,,,,,,,,,,,
Usage,Onshore,,,,,,,,,,,,,,,,,,
Power curve,,,Lagerwey LW 72/2000,,,Südwind S-70,,,HEAG HW3/S2500(103),,,HEAG HW3/S2500(110),,,HEAG HW3/S2500(97),,,Leitwind LTW77 1500,
windspeed(m/s),power(kW),,ws(m/s),P(kW),,ws(m/s),P(kW),,ws(m/s),P(kW),,ws(m/s),P(kW),,ws(m/s),P(kW),,ws(m/s),P(kW)
2,0,,2,0,,2,0,,1,0,,1,0,,1,0,,1,0
3,3.5,,3,3.5,,3,0,,2,0,,2,0,,2,0,,2,0
3.5,17.45,,3.5,17.45,,3.5,1.7,,3,3.3,,3,4,,3,2.2,,3,24
4,34.51,,4,34.51,,4,24.1,,4,78.4,,4,91.2,,4,52.5,,4,67
4.5,68.76,,4.5,68.76,,4.5,57.4,,5,237.9,,5,280.3,,5,200.5,,5,147
5,103,,5,103,,5,86,,6,440.5,,6,511.4,,6,377.7,,6,264
5.5,160,,5.5,160,,5.5,136.9,,7,729.7,,7,830.2,,7,629.4,,7,424
6,217,,6,217,,6,187.9,,8,1120.7,,8,1318.2,,8,973.2,,8,605
6.5,289.7,,6.5,289.7,,6.5,258.6,,9,1581.5,,9,1893.7,,9,1397.1,,9,823
7,369,,7,369,,7,326.3,,10,2071.4,,10,2422.5,,10,1874.4,,10,1062
7.5,466,,7.5,466,,7.5,419.8,,11,2500,,11,2500,,11,2374.3,,11,1294
8,563,,8,563,,8,525.8,,12,2500,,12,2500,,12,2500,,12,1420
8.5,683,,8.5,683,,8.5,625.2,,13,2500,,13,2500,,13,2500,,13,1467
9,803,,9,803,,9,727.8,,14,2500,,14,2500,,14,2500,,14,1488
9.5,953.26,,9.5,953.26,,9.5,880.3,,15,2500,,15,2500,,15,2500,,15,1500
10,1091,,10,1091,,10,1006.1,,16,2500,,16,2500,,16,2500,,16,1500
10.5,1249.5,,10.5,1249.5,,10.5,1133.6,,17,2500,,17,2500,,17,2500,,17,1500
11,1408,,11,1408,,11,1271,,18,2500,,18,2500,,18,2500,,18,1500
11.5,1549.5,,11.5,1549.5,,11.5,1353.7,,19,2500,,19,2500,,19,2500,,19,1500
12,1691,,12,1691,,12,1411.8,,20,2500,,20,2500,,20,2500,,20,1500
12.5,1785.96,,12.5,1785.96,,12.5,1466.7,,21,2500,,21,2500,,21,2500,,21,1500
13,1873,,13,1873,,13,1497.2,,22,2500,,22,2500,,22,2500,,22,1500
13.5,1916,,13.5,1916,,13.5,1502,,23,2500,,23,2500,,23,2500,,23,1500
14,1959,,14,1959,,14,1501.8,,24,2500,,24,2500,,24,2500,,24,1500
14.5,1974.65,,14.5,1974.65,,14.5,1506.9,,24.999,2500,,24.999,2500,,24.999,2500,,24.999,1500
15,1989,,15,1989,,15,1503.9,,25.001,0,,25.001,0,,25.001,0,,25.001,0
15.5,1993,,15.5,1993,,16,15021,,,,,,,,,,,,
16,1997,,16,1997,,16.5,1502.6,,,,,,,,,,,,
18,2000,,18,2000,,17,1510.7,,,,,,,,,,,,
22,2000,,22,2000,,18,1495.6,,,,,,,,,,,,
24.999,2000,,24.999,2000,,19,1494.6,,,,,,,,,,,,
25.001,0,,25.001,0,,19.001,0,,,,,,,,,,,,
