Manufacturer,General Electric
Model,GE_3400_137
Capacity,3400
Usage,Onshore
Power curve,
windspeed(m/s),power(kW)
2,0
3,54
3.5,138
4,234
4.5,352
5,497
5.5,672
6,880
6.5,1124
7,1407
7.5,1721
8,2060
8.5,2401
9,2709
9.5,2971
10,3156
10.5,3285
11,3368
11.5,3405
12,3421
12.5,3427
13,3430
13.5,3430
15,3430
17,3430
19,3430
21,3430
22,3430
23,3430
24,3430
25,3430
