Manufacturer,Senvion
Model,6.2M-152
Capacity,6150
Usage,Offshore
Power curve,
windspeed(m/s),power(kW)
1.9,0
2.6,0
3.1,44.3
3.7,99.7
4.3,232.6
4.7,387.7
5.2,575.9
5.6,775.3
5.9,952.5
6.2,1118.7
6.5,1318
6.8,1484.2
7.1,1738.9
7.4,1982.6
7.8,2270.6
8,2536.4
8.2,2746.8
8.4,2935.1
8.7,3189.9
8.9,3500
9.1,3743.7
9.3,4031.6
9.6,4297.5
9.7,4552.2
9.9,4818
10.2,5106
10.4,5405.1
10.7,5704.1
10.9,5925.6
11.2,6102.8
11.7,6150
12.3,6150
13,6150
16,6150
19,6150
22,6150
25,6150
28,6150
29.9999,6150
30.001,0
