Manufacturer,Nordex
Model,Nordex N 131/3000 Delta
Capacity,3000
Usage,Onshore
Power curve,
windspeed(m/s),power(kW)
2,0
3,33
3.5,104
4,194
4.5,306
5,442
5.5,607
6,802
6.5,1032
7,1298
7.5,1595
8,1915
8.5,2250
9,2533
9.5,2740
10,2881
10.5,2965
11,2997
11.5,3000
12,3000
12.5,3000
13,3000
13.5,3000
14,3000
14.5,3000
15,3000
15.5,3000
16,3000
16.5,3000
17,3000
17.5,3000
18,3000
18.5,3000
19,3000
19.5,3000
20,3000
20.5,3000
21,3000
21.5,3000
22,3000
22.5,3000
23,3000
24,3000
24.999,0
25.001,0
