Manufacturer,Nordex
Model,Nordex N 60
Capacity,1300
Usage,Onshore
Power curve,
windspeed(m/s),power(kW)
3.5,0
4,29
4.5,51.96
5,73
5.5,102
6,131
6.5,183.13
7,240
7.5,308.8
8,376
8.5,456
9,536
9.5,623.65
10,704
10.5,787.5
11,871
11.5,943.5
12,1016
12.5,1072.35
13,1124
13.5,1185.5
14,1247
14.5,1272.83
15,1301
15.5,1322.5
16,1344
16.5,1354
17,1364
17.5,1342.09
18,1322
18.5,1320.5
19,1319
19.5,1316.5
20,1314
20.5,1312.969
21,1312
21.5,1309.5
22,1307
22.5,1303
23,1298.7
23.5,1295.35
24,1292
24.5,1292
24.999,1292
25.001,0
