Manufacturer,Nordex
Model, Nordex N 62
Capacity,1300
Usage,Onshore
Power curve,
windspeed(m/s),power(kW)
3.5,0
4,20
4.5,51.83
5,81
5.5,120
6,159
6.5,190.57
7,225
7.5,305
8,385
8.5,478
9,571
9.5,669.61
10,760
10.5,842.5
11,925
11.5,990.5
12,1056
12.5,1114.43
13,1168
13.5,1209
14,1250
14.5,1271.04
15,1294
15.5,1297
16,1300
16.5,1293.5
17,1287
17.5,1273.96
18,1262
18.5,1247
19,1232
19.5,1217.5
20,1203
20.5,1190.48
21,1179
21.5,1168.5
22,1158
22.5,1152
23,1145.74
23.5,1142.87
24,1140
24.5,1139
24.999,1138
25.001,0
