Manufacturer,Vestas
Model,V66-1650
Capacity,1650
Usage,Onshore
HubHeight," 60,78"
RotorDiameter,66
Source,https://en.wind-turbine-models.com/turbines/15-vestas-v-66-1.65
Power curve,
windspeed(m/s),power(kW)
3.5,0
4,20
4.5,47.5
5,78.2
5.5,123.3
6,170.67
6.5,222
7,278
7.5,365.2
8,465.85
8.5,568.5
9,673.3
9.5,808.9
10,913.6
10.5,984
11,1054.4
11.5,1143.35
12,1242.9
12.5,1347
13,1439.35
13.5,1509.2
14,1567
14.5,1595
15,1620.67
15.5,1633.5
16,1639
16.5,1644.5
17,1650
19,1650
21,1650
25,1650
