Manufacturer,Vestas
Model,V112-3300
Capacity,3300
Usage,Offshore
Power curve,
windspeed(m/s),power(kW)
3,0
4.31,59.05
4.73,94.73
5.15,154.33
5.52,225.92
5.98,333.33
6.42,458.7
6.84,584.09
7.18,739.4
7.5,876.79
7.82,1032.12
8.16,1199.4
8.46,1366.7
8.73,1539.99
8.95,1713.31
9.17,1862.71
9.42,2053.95
9.66,2239.22
9.88,2406.55
10.08,2573.9
10.32,2771.12
10.59,2944.42
10.96,3087.76
11.31,3195.24
11.65,3236.94
12.16,3254.63
13.22,3278.04
13.81,3300
14.42,3300
15.65,3300
17.02,3300
18.4,3300
19.74,3300
22.32,3300
24.01,3300
25,3300
