Manufacturer,Siemens
Model,SWT-3200-113
Capacity,3200
Usage,Onshore
HubHeight," 79.5,92.5,99.5,122,142"
RotorDiameter,113
Source,https://en.wind-turbine-models.com/turbines/966-siemens-swt-3.2-113
Power curve,
windspeed(m/s),power(kW)
1,0
2,0
3,64
4,169
5,350
6,623
7,1004
8,1506
9,2115
10,2712
11,3083
12,3187
13,3199
14,3200
15,3200
16,3200
17,3200
18,3200
19,3200
20,3200
21,3200
22,3200
23,3200
24,3200
25,3200
