Manufacturer,Vestas
Model,V117-3450
Capacity,3450
Usage,Onshore
HubHeight," 91.5,116.5,141.5"
RotorDiameter,117
Source,https://en.wind-turbine-models.com/turbines/1248-vestas-v-117-3.45
Power curve,
windspeed(m/s),power(kW)
2,0
3,22
3.5,78
4,150
4.5,237
5,340
5.5,466
6,617
6.5,796
7,1006
7.5,1247
8,1522
8.5,1831
9,2178
9.5,2544
10,2905
10.5,3201
11,3374
11.5,3435
12,3448
12.5,3450
13,3450
13.5,3450
15,3450
17,3450
19,3450
21,3450
22,3450
23,3450
24,3450
25,3450
