Manufacturer,Vestas
Model,V126-3450
Capacity,3450
Usage,Onshore
HubHeight,"117,137,147,149"
RotorDiameter,126
Source,https://en.wind-turbine-models.com/turbines/1249-vestas-v-126-3.45
Power curve,
windspeed(m/s),power(kW)
2.5,0
3,35
3.5,101
4,184
4.5,283
5,404
5.5,550
6,725
6.5,932
7,1172
7.5,1446
8,1760
8.5,2104
9,2482
9.5,2865
10,3187
10.5,3366
11,3433
11.5,3448
12,3450
13,3450
14,3450
15,3450
16,3450
17,3450
18,3450
19,3450
20,3450
22,3450
24,3450
25,3450
