Manufacturer,Suedwind
Model,S-70
Capacity,1500
Usage,Onshore
Power curve,
windspeed(m/s),power(kW)
2,0
3,0
3.5,1.7
4,24.1
4.5,57.4
5,86
5.5,136.9
6,187.9
6.5,258.6
7,326.3
7.5,419.8
8,525.8
8.5,625.2
9,727.8
9.5,880.3
10,1006.1
10.5,1133.6
11,1271
11.5,1353.7
12,1411.8
12.5,1466.7
13,1497.2
13.5,1502
14,1501.8
14.5,1506.9
15,1503.9
16,15021
16.5,1502.6
17,1510.7
18,1495.6
19,1494.6
