Manufacturer,Bonus
Model,B76/2000
Capacity,2000
Usage,Offshore
Power curve,
windspeed(m/s),power(kW)
0,0
2,0
3,0
3.5,0
4,46.9
4.5,90
5,133
5.5,185
6,237
6.5,315.4
7,401
7.5,512
8,623
8.5,754.5
9,886
9.5,1044.6
10,1190
10.5,1346
11,1502
11.5,1621
12,1740
12.5,1818.8
13,1891
13.5,1926.5
14,1962
14.5,1975.6
15,1988
15.5,1992
16,1996
16.5,1997.5
17,1999
17.5,1999.5
18,2000
19,2000
20,2000
21,2000
22,2000
23,2000
24,2000
24.9999,2000
25.001,0
