Manufacturer,Suzlon
Model,S.64-1250
Capacity,1250
Usage,Onshore
Power curve,
windspeed(m/s),power(kW)
2,0
3,0
3.5,0
4,37.35
4.5,63.17
5,89
5.5,118.5
6,148
6.5,208.74
7,275
7.5,360.5
8,446
8.5,533.5
9,621
9.5,720.13
10,811
10.5,900.5
11,990
11.5,1058.5
12,1127
12.5,1164.04
13,1198
13.5,1224
15,1250
17,1250
19,1250
21,1250
22,1250
23,1250
24,1250
24.999,1250
25.001,0
