Manufacturer,Nordex
Model,N117_3600_Delta
Capacity,3600
Usage,Onshore
HubHeight,"91,106"
RotorDiameter,116.8
Power curve,
windspeed(m/s),power(kW)
2,0
3,17
3.5,54
4,131
4.5,228
5,344
5.5,479
6,638
6.5,823
7,1038
7.5,1284
8,1562
8.5,1866
9,2188
9.5,2520
10,2846
10.5,3109
11,3308
11.5,3449
12,3540
12.5,3588
13,3600
13.5,3600
14,3600
14.5,3600
15,3600
15.5,3600
16,3600
16.5,3600
17,3600
17.5,3600
18,3600
18.5,3600
19,3600
19.5,3600
20,3600
20.5,3600
21,3600
21.5,3600
22,3600
22.5,3600
23,3600
24,3600
25,3600
