Manufacturer,Lagerwey
Model,LW72_2000
Capacity,2000
Usage,Onshore
HubHeight,"65,80"
RotorDiameter,71.2
Power curve,
windspeed(m/s),power(kW)
2,0
3,3.5
3.5,17.45
4,34.51
4.5,68.76
5,103
5.5,160
6,217
6.5,289.7
7,369
7.5,466
8,563
8.5,683
9,803
9.5,953.26
10,1091
10.5,1249.5
11,1408
11.5,1549.5
12,1691
12.5,1785.96
13,1873
13.5,1916
14,1959
14.5,1974.65
15,1989
15.5,1993
16,1997
18,2000
22,2000
25,2000
