Manufacturer,Vestas
Model,V80-1800
Capacity,1800
Usage,Onshore
HubHeight," 60,67,78"
RotorDiameter,80
Source,https://en.wind-turbine-models.com/turbines/1350-vestas-v-80-1.8
Power curve,
windspeed(m/s),power(kW)
2.5,0
2.5,0
3,0
3.5,0
4,11.43
4.5,60.22
5,109
5.5,181
6,253
6.5,343.87
7,443
7.5,562.5
8,682
8.5,825
9,968
9.5,1133.91
10,1286
10.5,1434
11,1582
11.5,1665
12,1748
12.5,1771.48
13,1793
13.5,1796
14,1799
14.5,1800
17,1800
19,1800
20,1800
22,1800
24,1800
25,1800
