Manufacturer,Gamesa
Model,G80
Capacity,2000
Usage,Onshore
Power curve,
windspeed(m/s),power(kW)
3.5,0
4,64.83
4.5,106.91
5,149
5.5,217.5
6,286
6.5,374.96
7,472
7.5,604
8,736
8.5,884
9,1032
9.5,1195.3
10,1345
10.5,1468
11,1591
11.5,1718
12,1845
12.5,1894.57
13,1940
13.5,1954
14,1968
14.5,1978.96
15,1989
15.5,1991.5
16,1994
16.5,1997
17,2000
20,2000
23,2000
25,2000
