Manufacturer,Suzlon
Model,S.62-1000
Capacity,1000
Usage,Onshore
Power curve,
windspeed(m/s),power(kW)
2,0
3,11
3.5,18.5
4,28.48
4.5,55.74
5,83
5.5,118.5
6,154
6.5,197.52
7,245
7.5,308.5
8,372
8.5,468.5
9,565
9.5,665.7
10,758
10.5,825.5
11,893
11.5,946.5
12,1000
12.5,1000
13,1000
13.5,1000
15,1000
17,1000
19,1000
21,1000
22,1000
23,1000
24,1000
24.999,1000
25.001,0
