Manufacturer,Vestas
Model,V112_Onshore
Capacity,3075
Usage,Onshore
HubHeight,"84,94,119"
RotorDiameter,112
Source,https://en.wind-turbine-models.com/turbines/7-vestas-v-112-onshore
Power curve,
windspeed(m/s),power(kW)
2,0
3,26
3.5,73
4,133
4.5,207
5,302
5.5,416
6,554
6.5,717
7,907
7.5,1126
8,1375
8.5,1652
9,1958
9.5,2282
10,2585
10.5,2821
11,2997
11.5,3050
12,3067
12.5,3074
13,3075
13.5,3075
15,3075
17,3075
19,3075
21,3075
22,3075
23,3075
24,3075
25,3075
