,base_capacity,base_rotor_diam,base_hub_height
2000,1596.9859689648729,62.24360771899228,70.35268526629807
2001,1597.4853906627686,64.39623161271447,72.59307031032222
2002,1597.9848123606644,66.65375391990528,74.8523357546801
2003,1609.8666480866086,69.01617464053561,77.13048159935715
2004,1633.1308978478773,71.48349377463455,79.42750784435339
2005,1667.7775616444706,74.0557113221439,81.74341448968335
2006,1713.8066394691123,76.73282728312188,84.0782015353252
2007,1771.2181313254405,79.51484165753936,86.4318689813008
2008,1840.0120372134552,82.40175444539636,88.80441682759556
2009,1920.1883571331564,85.39356564669288,91.19584507421678
2010,2011.747091084544,88.49027526145801,93.60615372115717
2011,2114.6882390567043,91.69188328966266,96.03534276843857
2012,2229.011801071465,94.99838973130682,98.48341221603187
2013,2354.717777114274,98.40979458639049,100.95036206394434
2014,2491.806167192408,101.92609785491368,103.43619231218327
2015,2640.27697129859,105.54729953690548,105.94090296074137
2016,2800.1301894364587,109.2733996323077,108.4644940096332
2017,2971.365821606014,113.10439814117854,111.00696545883693
2018,3153.9838678072556,117.04029506351799,113.56831730837439
2019,3347.984328032908,121.08109039926785,116.14854955823103
2020,3553.3672022975225,125.22678414848633,118.74766220840684
2021,3770.1324905901856,129.47737631114433,121.36565525891638
2022,3998.2801929181733,133.83286688724183,124.00252870975964
2023,4237.810309274209,138.29325587677886,126.65828256090754
2024,4488.72283966557,142.8585432797554,129.33291681238188
2025,4751.017784084979,147.52872909620055,132.02643146418268
2026,5024.695142536075,152.30381332608522,134.73882651630993
2027,5309.754915018857,157.1837959694094,137.47010196875635
2028,5606.19710152605,162.1686770261731,140.22025782152195
2029,5914.021702072205,167.25845649640542,142.98929407462128
2030,6233.228716646408,172.45313438004814,145.7772107280398
2031,6563.8181452559365,177.75271067710128,148.58400778177747
2032,6905.789987893513,183.15718538768124,151.4096852358416
2033,7259.144244566414,188.6665585116716,154.25424309024675
2034,7623.880915267364,194.2808300491015,157.11768134496378
2035,8000.0,200.0,160.0
2036,8387.501498757047,205.82406836433802,162.9011990553554
2037,8786.385411553056,211.75303514211555,165.8212785110445
2038,9196.651738380751,217.7869003333617,168.7602383670528
2039,9618.300479240133,223.92566393801826,171.71807862338028
2040,10051.331634131202,230.16932595614344,174.69479928004148
2041,10495.74520305032,236.51788638770813,177.69040033701458
2042,10951.54118600476,242.97134523271234,180.7048817943214
2043,11418.71958298725,249.52970249118516,183.73824365196197
2044,11897.280393994151,256.1929581630684,186.79048590991442
2045,12387.223619040014,262.96111224842025,189.86160856818606
2046,12888.549258117564,269.8341647472116,192.95161162678414
2047,13401.2573112268,276.8121156594716,196.06049508570868
2048,13925.347778367723,283.894964985142,199.1882589449524
2049,14460.820659540332,291.082712724281,202.33490320452256
2050,15007.67595474099,298.37535887685954,205.5004278644119
