,base_capacity,base_rotor_diam,base_hub_height
2000,1447.1478619307163,58.113591733184876,63.246696928923484
2001,1450.5339484894648,60.373109315289184,63.71171244478319
2002,1453.9200350482133,62.721371927444125,64.32879142271122
2003,1457.3061216069618,65.1583795697079,65.09793386299862
2004,1460.6922081657103,67.68413224205142,66.01913976541255
2005,1473.0184945365181,70.29862994441646,67.09240913012763
2006,1494.2849807193852,73.00187267691945,68.31774195702747
2007,1524.4916667252255,75.79386043941486,69.69513824605383
2008,1563.6385525394871,78.67459323204821,71.22459799738135
2009,1611.725638169446,81.6440710547613,72.90612121083541
2010,1668.7529236223781,84.70229390749591,74.73970788664883
2011,1734.7204088873696,87.84926179033937,76.725358024647
2012,1809.6280939716962,91.08497470320435,78.86307162471348
2013,1893.4759788644442,94.40943264620728,81.15284868713934
2014,1986.2640635765274,97.82263561926084,83.59468921169173
2015,2087.992348107946,101.32458362236503,86.18859319854528
2016,2198.6608324477857,104.91527665557805,88.93456064764177
2017,2318.2695166069607,108.59471471881261,91.8325915588066
2018,2446.818400589109,112.362897812156,94.88268593233079
2019,2584.3074843760405,116.21982593560824,98.0848437679233
2020,2730.7367679895833,120.1654990890529,101.43906506587518
2021,2886.1062514079094,124.1999172726355,104.9453498260118
2022,3050.415934645571,128.32308048621053,108.60369804821676
2023,3223.6658177062054,132.5349887299526,112.41410973283928
2024,3405.8559005752613,136.8356420037453,116.37658487964654
2025,3596.9861832563765,141.22504030755954,120.49112348852213
2026,3797.056665764103,145.7031836414826,124.75772555975709
2027,4006.0673480802507,150.2700720054563,129.17639109306037
2028,4224.018230219372,154.92570539953886,133.74712008872302
2029,4450.909312166914,159.67008382370113,138.4699125465704
2030,4686.740593930153,164.50320727785584,143.34476846654434
2031,4931.512075516366,169.42507576217758,148.37168784887763
2032,5185.223756911,174.43568927649176,153.55067069327924
2033,5447.875638121332,179.53504782094387,158.88171699998202
2034,5719.467719158274,184.72315139547572,164.36482676892774
2035,6000.0,190.0,170.0
2036,6289.472480664699,195.36559363466222,175.78723669337342
2037,6587.8851611378195,200.81993229934596,181.72653684881516
2038,6895.238041430275,206.36301599416765,187.81790046661627
2039,7211.531121542066,211.99484471903997,194.06132754666032
2040,7536.764401462278,217.71541847393382,200.4568180887727
2041,7870.937881201826,223.52473725896562,207.00437209324446
2042,8214.051560760709,229.42280107401893,213.70398955978453
2043,8566.10544013165,235.4096099191811,220.55567048868397
2044,8927.099519321928,241.4851637944521,227.55941487976816
2045,9297.033798324264,247.6494626997155,234.71522273297887
2046,9675.908277142298,253.90250663508778,242.02309404849075
2047,10063.722955779667,260.24429560051067,249.48302882612916
2048,10460.477834229096,266.6748295960424,257.0950270660687
2049,10866.172912494221,273.19410862165387,264.85908876825124
2050,11280.80819058232,279.80213267728686,272.7752139325021
