,base_capacity,base_rotor_diam,base_hub_height
2000,1179.7620366196497,63.215570178901544,69.47404959815321
2001,1197.1264224193874,64.96369786240393,69.54499344556825
2002,1214.490808219125,66.83888430372463,69.61593729298329
2003,1231.8551940188627,68.84112950283452,69.68688114039833
2004,1249.2195798186003,70.97043345976272,69.75782498781336
2005,1266.583965618338,73.22679617450922,69.8287688352284
2006,1283.9483514180756,75.61021764707402,69.89971268264344
2007,1301.3127372178133,78.12069787745713,70.21903104893863
2008,1318.677123017551,80.75823686562944,70.7867239342304
2009,1353.7994042271748,83.52283461159095,71.60279133846052
2010,1406.6795808175812,86.41449111539987,72.66723326162901
2011,1477.3176528105978,89.43320637702709,73.98004970373586
2012,1565.7136202062247,92.57898039647262,75.54124066472286
2013,1671.867482997186,95.85181317370734,77.35080614476465
2014,1795.7792411762057,99.25170470878948,79.40874614374479
2015,1937.4488947723876,102.77865500166081,81.7150606616633
2016,2096.876443749352,106.43266405235045,84.26974969852017
2017,2274.0618881289265,110.21373186085839,87.07281325437361
2018,2469.0052279038355,114.12185842718463,90.12425132916542
2019,2681.7064630886307,118.15704375132918,93.42406392289558
2020,2912.1655936614843,122.31928783326293,96.97225103556411
2021,3160.3826196296723,126.60859067301499,100.76881266722921
2022,3426.3575410077465,131.02495227058535,104.81374881783267
2023,3710.090357773879,135.568372625974,109.1070594873745
2024,4011.581069935346,140.23885173918097,113.64874467585469
2025,4330.829677492147,145.03638961017714,118.43880438327324
2026,4667.836180466111,149.9609862390207,123.47723860968836
2027,5022.600578820857,155.0126416256535,128.76404735504184
2028,5395.122872570937,160.19135577010456,134.29923061933368
2029,5785.403061730904,165.49712867237395,140.0827884025639
2030,6193.4411462789285,170.92996033246163,146.11472070473246
2031,6619.237126229564,176.48985075033852,152.3950275258976
2032,7062.791001568257,182.1767999260337,158.9237088660011
2033,7524.102772324113,187.9908078595763,165.70076472504297
2034,8003.172438468027,193.931874550879,172.7261951030232
2035,8500.0,200.0,180.0
2036,9014.585456949135,206.1951842069393,187.52217941579875
2037,9546.928809286328,212.5174271716969,195.29273335065227
2038,10097.03005701158,218.96672889427282,203.31166180444416
2039,10664.889200139442,225.54308937466703,211.5789647771744
2040,11250.50623867719,232.24650861287955,220.09464226890123
2041,11853.881172602996,239.07698660891037,228.8586942795664
2042,12475.014001924137,246.0345233627595,237.87112080916995
2043,13113.904726655164,253.11911887442693,247.13192185771186
2044,13770.55334677425,260.33077314385446,256.64109742525034
2045,14444.95986228867,267.6694861711585,266.3986475117272
2046,15137.124273198424,275.13525795622263,276.4045721170842
2047,15847.04657952534,282.7280884991633,286.65887124149594
2048,16574.72678123304,290.447977799864,297.1615448847879
2049,17320.164878336072,298.29492585838307,307.91259304707637
2050,18083.360870856268,306.2689326747204,318.912015728245
