geom,Latitude,Longitude,Source,Year,Capacity,depth
POINT (3.04497440281574 51.5169891555642),51.516989,3.044974,DOWT,,,-25.0
POINT (2.946249553091 51.508006002723),51.508006,2.94625,DOWT,,,-25.0
POINT (2.9853262679502 51.5017177957341),51.501718,2.985326,DOWT,,,-25.0
POINT (2.97418715842712 51.5020771218478),51.502077,2.974187,DOWT,,,-24.0
POINT (2.99727386122899 51.498843186825),51.498843,2.997274,DOWT,,,-24.0
POINT (2.96915659283605 51.4956092518021),51.495609,2.969157,DOWT,,,-24.0
POINT (2.95810731484138 51.500370322808),51.50037,2.958107,DOWT,,,-24.0
POINT (2.98433812113767 51.4941719473475),51.494172,2.984338,DOWT,,,-25.0
POINT (2.97355833772823 51.4904888546826),51.490489,2.973558,DOWT,,,-24.0
POINT (3.01784528123533 51.505400888399),51.505401,3.017845,DOWT,,,-25.0
POINT (3.00652650865542 51.5039635839444),51.503964,3.006527,DOWT,,,-25.0
POINT (2.95658017885837 51.5063890352116),51.506389,2.95658,DOWT,,,-24.0
POINT (2.99098565424015 51.5133958944277),51.513396,2.990986,DOWT,,,-24.0
POINT (2.8477941979515 51.6317938488746),51.631794,2.847794,DOWT,,,-30.0
POINT (2.84042801262172 51.6356566045964),51.635657,2.840428,DOWT,,,-32.0
POINT (2.82785159864405 51.6254158103574),51.625416,2.827852,DOWT,,,-33.0
POINT (2.85300442659939 51.6458075673069),51.645808,2.853004,DOWT,,,-31.0
POINT (2.8553400463381 51.6282904192666),51.62829,2.85534,DOWT,,,-29.0
POINT (2.88525394529929 51.6608992640801),51.660899,2.885254,DOWT,,,-28.0
POINT (2.87195887909432 51.6516466166537),51.651647,2.871959,DOWT,,,-29.0
POINT (2.89163198381653 51.65694667683),51.656947,2.891632,DOWT,,,-29.0
POINT (2.89342861438477 51.6395193603181),51.639519,2.893429,DOWT,,,-25.0
POINT (2.88588276599817 51.6434719475682),51.643472,2.885883,DOWT,,,-26.0
POINT (2.87914540136727 51.664582356745),51.664582,2.879145,DOWT,,,-28.0
POINT (2.87914540136727 51.6476041978752),51.647604,2.879145,DOWT,,,-29.0
POINT (2.90519654460674 51.6490415023297),51.649042,2.905197,DOWT,,,-25.0
POINT (2.8741148357762 51.6341294686134),51.634129,2.874115,DOWT,,,-27.0
POINT (2.89854901150425 51.6529940895799),51.652994,2.898549,DOWT,,,-27.0
POINT (2.86594016669072 51.6551500462618),51.65515,2.86594,DOWT,,,-28.0
POINT (2.88184034721963 51.6307158705337),51.630716,2.88184,DOWT,,,-26.0
POINT (2.86270623166789 51.6246971581301),51.624697,2.862706,DOWT,,,-27.0
POINT (2.84267380083202 51.6184089511413),51.618409,2.842674,DOWT,,,-31.0
POINT (2.82318035916663 51.6123004072092),51.6123,2.82318,DOWT,,,-31.0
POINT (2.85327392118463 51.6119410810956),51.611941,2.853274,DOWT,,,-26.0
POINT (2.84132632790584 51.6081681569023),51.608168,2.841326,DOWT,,,-26.0
POINT (2.8538129103551 51.6185886141981),51.618589,2.853813,DOWT,,,-28.0
POINT (2.81635316300732 51.6151750161184),51.615175,2.816353,DOWT,,,-33.0
POINT (2.86351471542359 51.6162529944594),51.616253,2.863515,DOWT,,,-25.0
POINT (2.83521778397383 51.6220022122777),51.622002,2.835218,DOWT,,,-31.0
POINT (2.87159955298067 51.6226310329766),51.622631,2.8716,DOWT,,,-26.0
POINT (2.85992145428711 51.6417651485284),51.641765,2.859921,DOWT,,,-30.0
POINT (2.86719780808848 51.6379023928067),51.637902,2.867198,DOWT,,,-29.0
POINT (2.83072620755323 51.6088868091296),51.608887,2.830726,DOWT,,,-27.0
