Manufacturer,Enercon
Model,E101-3500_Enercon
Capacity,3500
Usage,Onshore
HubHeight,"74, 99"
Source,World Wind Farm 2023
RotorDiameter,101.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,3
2.5,17
3.0,37
3.5,74
4.0,116
4.5,184
5.0,253
5.5,360
6.0,469
6.5,622
7.0,775
7.5,975
8.0,1175
8.5,1428
9.0,1680
9.5,1981
10.0,2280
10.5,2547
11.0,2810
11.5,3008
12.0,3200
12.5,3315
13.0,3400
13.5,3440
14.0,3465
14.5,3492
15.0,3500
15.5,3500
16.0,3500
16.5,3500
17.0,3500
17.5,3500
18.0,3500
18.5,3500
19.0,3500
19.5,3500
20.0,3500
20.5,3500
21.0,3500
21.5,3500
22.0,3500
22.5,3500
23.0,3500
23.5,3500
24.0,3500
24.5,3500
25.0,3500
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
