Manufacturer,Alstom Power
Model,100_Alstom_Power
Capacity,3000
Usage,Onshore
HubHeight,"75, 100"
Source,World Wind Farm 2023
RotorDiameter,100.8
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,32
3.5,55
4.0,87
4.5,125
5.0,169
5.5,235
6.0,306
6.5,410
7.0,515
7.5,655
8.0,800
8.5,960
9.0,1119
9.5,1310
10.0,1503
10.5,1685
11.0,1866
11.5,2035
12.0,2195
12.5,2355
13.0,2503
13.5,2645
14.0,2772
14.5,2870
15.0,2936
15.5,2990
16.0,3000
16.5,3000
17.0,3000
17.5,3000
18.0,3000
18.5,3000
19.0,3000
19.5,3000
20.0,3000
20.5,3000
21.0,3000
21.5,3000
22.0,3000
22.5,3000
23.0,3000
23.5,3000
24.0,3000
24.5,3000
25.0,3000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
