Manufacturer,Halbes
Model,Halbes_315_kW_Halbes
Capacity,315
Usage,Onshore
HubHeight,"35, 35"
Source,World Wind Farm 2023
RotorDiameter,32.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,2
2.5,4
3.0,7
3.5,11
4.0,16
4.5,23
5.0,32
5.5,43
6.0,55
6.5,70
7.0,88
7.5,108
8.0,131
8.5,157
9.0,187
9.5,220
10.0,256
10.5,297
11.0,315
11.5,315
12.0,315
12.5,315
13.0,315
13.5,315
14.0,315
14.5,315
15.0,315
15.5,315
16.0,315
16.5,315
17.0,315
17.5,315
18.0,315
18.5,315
19.0,315
19.5,315
20.0,315
20.5,315
21.0,315
21.5,315
22.0,315
22.5,315
23.0,315
23.5,315
24.0,315
24.5,315
25.0,315
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
