Manufacturer,Nordex
Model,N26-225_Nordex
Capacity,225
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,26.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,4
4.0,8
4.5,12
5.0,18
5.5,23
6.0,32
6.5,40
7.0,51
7.5,64
8.0,79
8.5,96
9.0,114
9.5,131
10.0,148
10.5,166
11.0,183
11.5,197
12.0,209
12.5,218
13.0,224
13.5,229
14.0,232
14.5,234
15.0,235
15.5,235
16.0,235
16.5,235
17.0,235
17.5,235
18.0,235
18.5,235
19.0,235
19.5,235
20.0,235
20.5,235
21.0,235
21.5,235
22.0,235
22.5,235
23.0,235
23.5,235
24.0,235
24.5,235
25.0,235
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
