Manufacturer,Windey
Model,WD49-750kW_Windey
Capacity,750
Usage,Onshore
HubHeight,"50, 65"
Source,World Wind Farm 2023
RotorDiameter,49.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,7
4.0,16
4.5,32
5.0,51
5.5,68
6.0,89
6.5,122
7.0,159
7.5,204
8.0,249
8.5,298
9.0,346
9.5,397
10.0,448
10.5,497
11.0,545
11.5,593
12.0,640
12.5,682
13.0,712
13.5,735
14.0,752
14.5,763
15.0,770
15.5,762
16.0,750
16.5,740
17.0,730
17.5,720
18.0,710
18.5,706
19.0,700
19.5,690
20.0,680
20.5,680
21.0,680
21.5,678
22.0,675
22.5,674
23.0,672
23.5,671
24.0,670
24.5,669
25.0,667
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
