Manufacturer,RRB Energy
Model,PS-1800_RRB_Energy
Capacity,1800
Usage,Onshore
HubHeight,"80, 100"
Source,World Wind Farm 2023
RotorDiameter,82.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,12
4.0,31
4.5,65
5.0,107
5.5,170
6.0,232
6.5,333
7.0,433
7.5,549
8.0,665
8.5,765
9.0,865
9.5,972
10.0,1078
10.5,1194
11.0,1310
11.5,1417
12.0,1524
12.5,1605
13.0,1685
13.5,1720
14.0,1750
14.5,1778
15.0,1800
15.5,1800
16.0,1800
16.5,1800
17.0,1800
17.5,1800
18.0,1800
18.5,1800
19.0,1800
19.5,1800
20.0,1800
20.5,1800
21.0,1800
21.5,1800
22.0,1800
22.5,1800
23.0,1800
23.5,1800
24.0,1800
24.5,1800
25.0,1800
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
