Manufacturer,Neg Micon
Model,NM44-750_Neg_Micon
Capacity,750
Usage,Onshore
HubHeight,"40, 56"
Source,World Wind Farm 2023
RotorDiameter,44.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,4
4.0,10
4.5,18
5.0,27
5.5,47
6.0,67
6.5,98
7.0,130
7.5,164
8.0,199
8.5,243
9.0,288
9.5,329
10.0,370
10.5,419
11.0,467
11.5,508
12.0,549
12.5,594
13.0,639
13.5,685
14.0,715
14.5,735
15.0,747
15.5,746
16.0,743
16.5,741
17.0,738
17.5,732
18.0,725
18.5,718
19.0,711
19.5,707
20.0,705
20.5,705
21.0,705
21.5,705
22.0,705
22.5,705
23.0,705
23.5,705
24.0,705
24.5,705
25.0,705
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
