Manufacturer,Enercon
Model,E44-900_Enercon
Capacity,900
Usage,Onshore
HubHeight,"45, 55"
Source,World Wind Farm 2023
RotorDiameter,44.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,4
3.5,10
4.0,20
4.5,35
5.0,50
5.5,73
6.0,96
6.5,126
7.0,156
7.5,197
8.0,238
8.5,289
9.0,340
9.5,400
10.0,466
10.5,533
11.0,600
11.5,655
12.0,710
12.5,750
13.0,790
13.5,820
14.0,850
14.5,865
15.0,880
15.5,895
16.0,905
16.5,908
17.0,910
17.5,910
18.0,910
18.5,910
19.0,910
19.5,910
20.0,910
20.5,910
21.0,910
21.5,910
22.0,910
22.5,910
23.0,910
23.5,910
24.0,910
24.5,910
25.0,910
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
