Manufacturer,e.n.o. energy
Model,92_e.n.o._energy
Capacity,2200
Usage,Onshore
HubHeight,"103, 123"
Source,World Wind Farm 2023
RotorDiameter,92.8
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,23
4.0,60
4.5,110
5.0,169
5.5,250
6.0,349
6.5,490
7.0,638
7.5,800
8.0,962
8.5,1150
9.0,1340
9.5,1480
10.0,1611
10.5,1750
11.0,1881
11.5,1975
12.0,2062
12.5,2130
13.0,2171
13.5,2192
14.0,2200
14.5,2200
15.0,2200
15.5,2200
16.0,2200
16.5,2200
17.0,2200
17.5,2200
18.0,2200
18.5,2200
19.0,2200
19.5,2200
20.0,2200
20.5,2200
21.0,2200
21.5,2200
22.0,2200
22.5,2200
23.0,2200
23.5,2200
24.0,2200
24.5,2200
25.0,2200
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
