Manufacturer,Made
Model,AE-32_Made
Capacity,330
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,32.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,6
5.0,14
5.5,25
6.0,38
6.5,52
7.0,70
7.5,89
8.0,111
8.5,137
9.0,163
9.5,190
10.0,216
10.5,242
11.0,267
11.5,295
12.0,312
12.5,326
13.0,332
13.5,333
14.0,334
14.5,334
15.0,332
15.5,329
16.0,325
16.5,321
17.0,317
17.5,312
18.0,307
18.5,301
19.0,296
19.5,290
20.0,286
20.5,281
21.0,276
21.5,270
22.0,267
22.5,264
23.0,260
23.5,257
24.0,254
24.5,252
25.0,250
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
