Manufacturer,W2E
Model,W2E-116-2.0_-_Harvester_2.0_MW_W2E
Capacity,2000
Usage,Onshore
HubHeight,"100, 140"
Source,World Wind Farm 2023
RotorDiameter,116.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,15
3.0,36
3.5,80
4.0,137
4.5,230
5.0,328
5.5,466
6.0,604
6.5,790
7.0,975
7.5,1220
8.0,1465
8.5,1710
9.0,1916
9.5,2015
10.0,2050
10.5,2050
11.0,2050
11.5,2050
12.0,2050
12.5,2050
13.0,2050
13.5,2050
14.0,2050
14.5,2050
15.0,2050
15.5,2050
16.0,2050
16.5,2050
17.0,2050
17.5,2050
18.0,2050
18.5,2050
19.0,2050
19.5,2050
20.0,2050
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
