Manufacturer,Made
Model,AE-46-I_Made
Capacity,660
Usage,Onshore
HubHeight,"43.5, 43.5"
Source,World Wind Farm 2023
RotorDiameter,46.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,9
4.0,21
4.5,31
5.0,43
5.5,59
6.0,82
6.5,107
7.0,135
7.5,172
8.0,218
8.5,267
9.0,315
9.5,366
10.0,416
10.5,463
11.0,509
11.5,542
12.0,574
12.5,598
13.0,622
13.5,639
14.0,655
14.5,660
15.0,665
15.5,663
16.0,661
16.5,650
17.0,639
17.5,632
18.0,624
18.5,614
19.0,603
19.5,597
20.0,591
20.5,585
21.0,579
21.5,576
22.0,572
22.5,570
23.0,567
23.5,568
24.0,569
24.5,569
25.0,569
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
