Manufacturer,Southern Wind Farms
Model,GWL225-40_Southern_Wind_Farms
Capacity,225
Usage,Onshore
HubHeight,"45, 45"
Source,World Wind Farm 2023
RotorDiameter,29.8
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,1
3.0,4
3.5,6
4.0,9
4.5,14
5.0,20
5.5,25
6.0,33
6.5,44
7.0,59
7.5,73
8.0,88
8.5,104
9.0,119
9.5,136
10.0,150
10.5,161
11.0,171
11.5,181
12.0,189
12.5,199
13.0,206
13.5,212
14.0,217
14.5,224
15.0,230
15.5,232
16.0,234
16.5,232
17.0,230
17.5,229
18.0,229
18.5,227
19.0,225
19.5,219
20.0,215
20.5,214
21.0,212
21.5,211
22.0,210
22.5,210
23.0,210
23.5,210
24.0,210
24.5,210
25.0,210
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
