Manufacturer,Vestas
Model,V100-2600_Vestas
Capacity,2600
Usage,Onshore
HubHeight,"nan, nan"
Source,World Wind Farm 2023
RotorDiameter,100.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,21
3.5,63
4.0,115
4.5,172
5.0,239
5.5,318
6.0,405
6.5,550
7.0,706
7.5,890
8.0,1080
8.5,1283
9.0,1485
9.5,1641
10.0,1796
10.5,1944
11.0,2092
11.5,2225
12.0,2351
12.5,2440
13.0,2502
13.5,2560
14.0,2584
14.5,2597
15.0,2600
15.5,2600
16.0,2600
16.5,2600
17.0,2600
17.5,2600
18.0,2600
18.5,2600
19.0,2600
19.5,2600
20.0,2600
20.5,2600
21.0,2600
21.5,2600
22.0,2600
22.5,2600
23.0,2600
23.5,2600
24.0,2600
24.5,2600
25.0,2600
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
