Manufacturer,Vergnet
Model,GEV_MP_275-30_Vergnet
Capacity,275
Usage,Onshore
HubHeight,"55, 60"
Source,World Wind Farm 2023
RotorDiameter,30.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,3
4.5,7
5.0,14
5.5,20
6.0,28
6.5,39
7.0,51
7.5,65
8.0,80
8.5,96
9.0,113
9.5,132
10.0,151
10.5,172
11.0,192
11.5,216
12.0,238
12.5,256
13.0,270
13.5,274
14.0,275
14.5,275
15.0,275
15.5,275
16.0,275
16.5,275
17.0,275
17.5,275
18.0,275
18.5,275
19.0,275
19.5,275
20.0,275
20.5,275
21.0,275
21.5,275
22.0,275
22.5,275
23.0,275
23.5,275
24.0,275
24.5,275
25.0,275
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
