Manufacturer,Bonus
Model,B44-600_Bonus
Capacity,600
Usage,Onshore
HubHeight,"42, 58"
Source,World Wind Farm 2023
RotorDiameter,44.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,6
4.0,13
4.5,26
5.0,40
5.5,55
6.0,74
6.5,100
7.0,131
7.5,165
8.0,202
8.5,242
9.0,281
9.5,322
10.0,362
10.5,398
11.0,434
11.5,467
12.0,499
12.5,526
13.0,548
13.5,565
14.0,577
14.5,588
15.0,596
15.5,603
16.0,610
16.5,609
17.0,607
17.5,600
18.0,593
18.5,582
19.0,571
19.5,559
20.0,546
20.5,536
21.0,525
21.5,518
22.0,510
22.5,505
23.0,499
23.5,489
24.0,479
24.5,469
25.0,458
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
