Manufacturer,Alstom Power
Model,122_Alstom_Power
Capacity,2700
Usage,Onshore
HubHeight,"89, 139"
Source,World Wind Farm 2023
RotorDiameter,122.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,29
3.5,90
4.0,171
4.5,275
5.0,389
5.5,542
6.0,703
6.5,920
7.0,1139
7.5,1411
8.0,1682
8.5,1946
9.0,2205
9.5,2380
10.0,2541
10.5,2620
11.0,2669
11.5,2690
12.0,2697
12.5,2699
13.0,2700
13.5,2700
14.0,2700
14.5,2700
15.0,2700
15.5,2700
16.0,2700
16.5,2700
17.0,2700
17.5,2700
18.0,2700
18.5,2700
19.0,2700
19.5,2700
20.0,2700
20.5,2700
21.0,2700
21.5,2700
22.0,2700
22.5,2700
23.0,2700
23.5,2700
24.0,2700
24.5,2700
25.0,2700
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
