Manufacturer,Bonus
Model,B31-300_Bonus
Capacity,300
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,31.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,2
4.0,5
4.5,12
5.0,22
5.5,35
6.0,52
6.5,69
7.0,87
7.5,108
8.0,129
8.5,151
9.0,172
9.5,192
10.0,212
10.5,231
11.0,251
11.5,266
12.0,281
12.5,291
13.0,297
13.5,303
14.0,305
14.5,304
15.0,300
15.5,292
16.0,281
16.5,276
17.0,271
17.5,265
18.0,260
18.5,257
19.0,255
19.5,254
20.0,253
20.5,253
21.0,254
21.5,254
22.0,255
22.5,255
23.0,256
23.5,256
24.0,257
24.5,258
25.0,258
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
