Manufacturer,Fuhrländer
Model,FL_1000-54_Fuhrländer
Capacity,1000
Usage,Onshore
HubHeight,"70, 82"
Source,World Wind Farm 2023
RotorDiameter,54.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,10
4.0,24
4.5,42
5.0,64
5.5,84
6.0,111
6.5,152
7.0,197
7.5,256
8.0,314
8.5,384
9.0,454
9.5,518
10.0,582
10.5,634
11.0,686
11.5,735
12.0,783
12.5,837
13.0,891
13.5,929
14.0,966
14.5,999
15.0,1010
15.5,1024
16.0,1037
16.5,1034
17.0,1030
17.5,1028
18.0,1025
18.5,1020
19.0,1015
19.5,1013
20.0,1009
20.5,1003
21.0,995
21.5,990
22.0,985
22.5,979
23.0,973
23.5,966
24.0,960
24.5,956
25.0,955
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
