Manufacturer,Suzlon
Model,S33-350_Suzlon
Capacity,350
Usage,Onshore
HubHeight,"50, 70"
Source,World Wind Farm 2023
RotorDiameter,33.4
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,1
3.5,2
4.0,4
4.5,13
5.0,20
5.5,30
6.0,41
6.5,57
7.0,74
7.5,94
8.0,114
8.5,137
9.0,159
9.5,182
10.0,204
10.5,226
11.0,247
11.5,269
12.0,291
12.5,312
13.0,330
13.5,343
14.0,345
14.5,343
15.0,338
15.5,331
16.0,322
16.5,314
17.0,306
17.5,299
18.0,292
18.5,286
19.0,280
19.5,274
20.0,269
20.5,263
21.0,258
21.5,253
22.0,249
22.5,245
23.0,242
23.5,240
24.0,238
24.5,236
25.0,234
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
