Manufacturer,Ecotecnia
Model,80_1.6_Ecotecnia
Capacity,1670
Usage,Onshore
HubHeight,"60, 80"
Source,World Wind Farm 2023
RotorDiameter,80.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,15
3.5,31
4.0,64
4.5,96
5.0,146
5.5,196
6.0,267
6.5,344
7.0,443
7.5,546
8.0,678
8.5,809
9.0,967
9.5,1124
10.0,1296
10.5,1468
11.0,1560
11.5,1619
12.0,1660
12.5,1670
13.0,1670
13.5,1670
14.0,1670
14.5,1670
15.0,1670
15.5,1670
16.0,1670
16.5,1670
17.0,1600
17.5,1529
18.0,1474
18.5,1419
19.0,1364
19.5,1308
20.0,1253
20.5,1198
21.0,1143
21.5,1087
22.0,1032
22.5,976
23.0,921
23.5,866
24.0,810
24.5,755
25.0,702
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
