Manufacturer,Northern Power Systems
Model,Northern_Power_100_Artic_Northern_Power_Systems
Capacity,100
Usage,Onshore
HubHeight,"37, 37"
Source,World Wind Farm 2023
RotorDiameter,21.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,4
4.5,7
5.0,11
5.5,16
6.0,20
6.5,25
7.0,30
7.5,35
8.0,40
8.5,46
9.0,54
9.5,61
10.0,67
10.5,72
11.0,77
11.5,82
12.0,86
12.5,89
13.0,92
13.5,95
14.0,97
14.5,98
15.0,99
15.5,99
16.0,100
16.5,100
17.0,100
17.5,100
18.0,99
18.5,99
19.0,99
19.5,98
20.0,98
20.5,98
21.0,98
21.5,97
22.0,97
22.5,97
23.0,97
23.5,98
24.0,98
24.5,99
25.0,100
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
