Manufacturer,Vindsyssel
Model,VS225-24_Vindsyssel
Capacity,225
Usage,Onshore
HubHeight,"26, 26"
Source,World Wind Farm 2023
RotorDiameter,24.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,2
5.0,5
5.5,8
6.0,12
6.5,19
7.0,27
7.5,37
8.0,47
8.5,62
9.0,78
9.5,93
10.0,107
10.5,125
11.0,143
11.5,158
12.0,172
12.5,185
13.0,197
13.5,206
14.0,214
14.5,218
15.0,221
15.5,221
16.0,220
16.5,217
17.0,213
17.5,208
18.0,203
18.5,197
19.0,192
19.5,187
20.0,182
20.5,176
21.0,170
21.5,165
22.0,161
22.5,158
23.0,155
23.5,154
24.0,153
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
