Manufacturer,Vensys
Model,136_Vensys
Capacity,3500
Usage,Onshore
HubHeight,"81.7, 161.2"
Source,World Wind Farm 2023
RotorDiameter,136.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,9
2.5,40
3.0,79
3.5,152
4.0,229
4.5,356
5.0,485
5.5,674
6.0,863
6.5,1128
7.0,1392
7.5,1740
8.0,2088
8.5,2459
9.0,2828
9.5,3073
10.0,3313
10.5,3420
11.0,3463
11.5,3486
12.0,3500
12.5,3500
13.0,3500
13.5,3500
14.0,3500
14.5,3500
15.0,3500
15.5,3500
16.0,3500
16.5,3500
17.0,3500
17.5,3500
18.0,3500
18.5,3500
19.0,3500
19.5,3500
20.0,3500
20.5,3500
21.0,3500
21.5,3500
22.0,3500
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
