Manufacturer,Innovative Windpower
Model,Falcon_1.25_MW-62_Innovative_Windpower
Capacity,1250
Usage,Onshore
HubHeight,"60, 100"
Source,World Wind Farm 2023
RotorDiameter,62.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,10
3.0,23
3.5,38
4.0,57
4.5,83
5.0,111
5.5,155
6.0,200
6.5,259
7.0,317
7.5,399
8.0,481
8.5,587
9.0,693
9.5,811
10.0,928
10.5,1035
11.0,1126
11.5,1185
12.0,1214
12.5,1240
13.0,1250
13.5,1250
14.0,1250
14.5,1250
15.0,1250
15.5,1250
16.0,1250
16.5,1250
17.0,1250
17.5,1250
18.0,1250
18.5,1250
19.0,1250
19.5,1250
20.0,1250
20.5,1250
21.0,1250
21.5,1250
22.0,1250
22.5,1250
23.0,1250
23.5,1250
24.0,1250
24.5,1250
25.0,1250
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
