Manufacturer,Gamesa
Model,G132-3300_Gamesa
Capacity,3300
Usage,Onshore
HubHeight,"84, 134"
Source,World Wind Farm 2023
RotorDiameter,132.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,100
2.5,250
3.0,416
3.5,620
4.0,831
4.5,1060
5.0,1304
5.5,1559
6.0,1813
6.5,2094
7.0,2374
7.5,2593
8.0,2812
8.5,2959
9.0,3105
9.5,3180
10.0,3228
10.5,3245
11.0,3250
11.5,3250
12.0,3250
12.5,3250
13.0,3250
13.5,3250
14.0,3250
14.5,3250
15.0,3250
15.5,3250
16.0,3250
16.5,3250
17.0,3250
17.5,3250
18.0,3250
18.5,3250
19.0,3250
19.5,3250
20.0,3250
20.5,3250
21.0,3250
21.5,3185
22.0,3079
22.5,2925
23.0,2758
23.5,2600
24.0,2436
24.5,2279
25.0,2121
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
