Manufacturer,Nordtank
Model,NTK130-22_Nordtank
Capacity,130
Usage,Onshore
HubHeight,"24, 24"
Source,World Wind Farm 2023
RotorDiameter,21.5
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,1
5.0,3
5.5,6
6.0,11
6.5,19
7.0,26
7.5,34
8.0,43
8.5,52
9.0,61
9.5,71
10.0,80
10.5,89
11.0,97
11.5,105
12.0,113
12.5,120
13.0,126
13.5,131
14.0,136
14.5,140
15.0,142
15.5,143
16.0,144
16.5,145
17.0,146
17.5,147
18.0,148
18.5,149
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
