Manufacturer,Suzlon
Model,S128-2700_Suzlon
Capacity,2700
Usage,Onshore
HubHeight,"nan, nan"
Source,World Wind Farm 2023
RotorDiameter,129.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,80
4.0,185
4.5,305
5.0,459
5.5,650
6.0,845
6.5,1090
7.0,1337
7.5,1680
8.0,2014
8.5,2300
9.0,2562
9.5,2720
10.0,2786
10.5,2798
11.0,2800
11.5,2800
12.0,2800
12.5,2800
13.0,2800
13.5,2800
14.0,2800
14.5,2800
15.0,2800
15.5,2800
16.0,2800
16.5,2800
17.0,2800
17.5,2800
18.0,2800
18.5,2800
19.0,2800
19.5,2800
20.0,2800
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
