Manufacturer,PowerWorks
Model,18-100_PowerWorks
Capacity,100
Usage,Onshore
HubHeight,"18, 24"
Source,World Wind Farm 2023
RotorDiameter,18.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,0
5.0,0
5.5,3
6.0,6
6.5,10
7.0,16
7.5,22
8.0,30
8.5,38
9.0,47
9.5,55
10.0,63
10.5,71
11.0,79
11.5,86
12.0,94
12.5,99
13.0,104
13.5,107
14.0,109
14.5,110
15.0,110
15.5,110
16.0,110
16.5,110
17.0,110
17.5,110
18.0,110
18.5,110
19.0,110
19.5,110
20.0,110
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
