Manufacturer,Gamesa
Model,G83-2000_Gamesa
Capacity,2000
Usage,Onshore
HubHeight,"67, 100"
Source,World Wind Farm 2023
RotorDiameter,83.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,30
4.0,65
4.5,100
5.0,152
5.5,210
6.0,285
6.5,370
7.0,471
7.5,590
8.0,716
8.5,864
9.0,1015
9.5,1200
10.0,1377
10.5,1540
11.0,1691
11.5,1800
12.0,1882
12.5,1940
13.0,1964
13.5,1982
14.0,1990
14.5,1995
15.0,1998
15.5,1999
16.0,1999
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,2000
22.0,2000
22.5,2000
23.0,2000
23.5,2000
24.0,2000
24.5,2000
25.0,2000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
