Manufacturer,NEPC
Model,225-30_NEPC
Capacity,225
Usage,Onshore
HubHeight,"30, 45"
Source,World Wind Farm 2023
RotorDiameter,29.8
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,1
4.0,2
4.5,5
5.0,9
5.5,18
6.0,29
6.5,40
7.0,52
7.5,60
8.0,74
8.5,90
9.0,107
9.5,121
10.0,137
10.5,157
11.0,177
11.5,192
12.0,206
12.5,215
13.0,218
13.5,221
14.0,222
14.5,223
15.0,224
15.5,224
16.0,224
16.5,224
17.0,224
17.5,223
18.0,223
18.5,222
19.0,221
19.5,221
20.0,221
20.5,221
21.0,221
21.5,221
22.0,221
22.5,221
23.0,221
23.5,221
24.0,221
24.5,221
25.0,221
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
