Manufacturer,RRB Energy
Model,V27-225_RRB_Energy
Capacity,225
Usage,Onshore
HubHeight,"31, 49"
Source,World Wind Farm 2023
RotorDiameter,27.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,5
4.5,10
5.0,20
5.5,30
6.0,40
6.5,52
7.0,65
7.5,75
8.0,88
8.5,101
9.0,114
9.5,127
10.0,142
10.5,156
11.0,169
11.5,180
12.0,191
12.5,201
13.0,212
13.5,222
14.0,224
14.5,225
15.0,225
15.5,225
16.0,225
16.5,225
17.0,225
17.5,225
18.0,225
18.5,225
19.0,225
19.5,225
20.0,225
20.5,225
21.0,225
21.5,225
22.0,225
22.5,225
23.0,225
23.5,225
24.0,225
24.5,225
25.0,225
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
