Manufacturer,Vensys
Model,115_Vensys
Capacity,4100
Usage,Onshore
HubHeight,"72.5, 92.5"
Source,World Wind Farm 2023
RotorDiameter,115.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,25
3.0,61
3.5,113
4.0,174
4.5,254
5.0,340
5.5,478
6.0,620
6.5,794
7.0,967
7.5,1196
8.0,1426
8.5,1743
9.0,2059
9.5,2418
10.0,2774
10.5,3110
11.0,3437
11.5,3690
12.0,3904
12.5,4000
13.0,4078
13.5,4100
14.0,4100
14.5,4100
15.0,4100
15.5,4100
16.0,4100
16.5,4100
17.0,4100
17.5,4100
18.0,4100
18.5,4100
19.0,4100
19.5,4100
20.0,4100
20.5,4100
21.0,4100
21.5,4100
22.0,4100
22.5,4100
23.0,4100
23.5,4100
24.0,4100
24.5,4100
25.0,4100
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
