Manufacturer,Wind Technik Nord
Model,200-28_Wind_Technik_Nord
Capacity,200
Usage,Onshore
HubHeight,"50, 50"
Source,World Wind Farm 2023
RotorDiameter,28.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,3
4.0,5
4.5,9
5.0,12
5.5,16
6.0,22
6.5,32
7.0,45
7.5,60
8.0,75
8.5,90
9.0,103
9.5,117
10.0,128
10.5,140
11.0,150
11.5,159
12.0,166
12.5,175
13.0,184
13.5,191
14.0,198
14.5,202
15.0,206
15.5,210
16.0,214
16.5,215
17.0,216
17.5,215
18.0,212
18.5,207
19.0,204
19.5,201
20.0,200
20.5,200
21.0,200
21.5,200
22.0,200
22.5,200
23.0,200
23.5,200
24.0,200
24.5,200
25.0,200
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
