Manufacturer,Nordex
Model,N149-4.0-4.5_Nordex
Capacity,4500
Usage,Onshore
HubHeight,"105, 164"
Source,World Wind Farm 2023
RotorDiameter,149.1
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,15
2.5,27
3.0,43
3.5,145
4.0,250
4.5,428
5.0,609
5.5,829
6.0,1050
6.5,1373
7.0,1698
7.5,2119
8.0,2539
8.5,3021
9.0,3503
9.5,3828
10.0,4151
10.5,4350
11.0,4482
11.5,4495
12.0,4500
12.5,4500
13.0,4500
13.5,4500
14.0,4500
14.5,4500
15.0,4500
15.5,4500
16.0,4500
16.5,4500
17.0,4500
17.5,4500
18.0,4500
18.5,4500
19.0,4500
19.5,4500
20.0,4500
20.5,4430
21.0,4322
21.5,4146
22.0,3965
22.5,3798
23.0,3635
23.5,3444
24.0,3250
24.5,3078
25.0,2906
25.5,2721
26.0,2535
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
