Manufacturer,GE Energy
Model,2.75-103_GE_Energy
Capacity,2750
Usage,Onshore
HubHeight,"75, 123.5"
Source,World Wind Farm 2023
RotorDiameter,103.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,10
3.5,80
4.0,160
4.5,250
5.0,340
5.5,460
6.0,590
6.5,770
7.0,952
7.5,1170
8.0,1389
8.5,1650
9.0,1869
9.5,2070
10.0,2260
10.5,2380
11.0,2487
11.5,2570
12.0,2643
12.5,2690
13.0,2730
13.5,2750
14.0,2750
14.5,2750
15.0,2750
15.5,2750
16.0,2750
16.5,2750
17.0,2750
17.5,2750
18.0,2750
18.5,2750
19.0,2750
19.5,2750
20.0,2750
20.5,2750
21.0,2750
21.5,2750
22.0,2750
22.5,2750
23.0,2750
23.5,2750
24.0,2750
24.5,2750
25.0,2750
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
